AwayTeam,Date,FTAG,FTHG,FTR,HomeTeam
Norwich City,2019-08-09,1.0,4.0,H,Liverpool
Man City,2019-08-10,5.0,0.0,A,West Ham
Southampton,2019-08-10,0.0,3.0,H,Burnley
Everton,2019-08-10,0.0,0.0,D,Crystal Palace
Brighton,2019-08-10,3.0,0.0,A,Watford
Sheffield,2019-08-10,1.0,1.0,D,Bournemouth
Aston Villa,2019-08-10,1.0,3.0,H,Tottenham
Wolves,2019-08-11,0.0,0.0,D,Leicester
Arsenal,2019-08-11,1.0,0.0,A,Newcastle
Chelsea,2019-08-11,0.0,4.0,H,Man United
Burnley,2019-08-17,1.0,2.0,H,Arsenal
Bournemouth,2019-08-17,2.0,1.0,A,Aston Villa
Watford,2019-08-17,0.0,1.0,H,Everton
Newcastle,2019-08-17,1.0,3.0,H,Norwich City
Liverpool,2019-08-17,2.0,1.0,A,Southampton
West Ham,2019-08-17,1.0,1.0,D,Brighton
Tottenham,2019-08-17,2.0,2.0,D,Man City
Crystal Palace,2019-08-18,0.0,1.0,H,Sheffield
Leicester,2019-08-18,1.0,1.0,D,Chelsea
Man United,2019-08-19,1.0,1.0,D,Wolves
Everton,2019-08-23,0.0,2.0,H,Aston Villa
Chelsea,2019-08-24,3.0,2.0,A,Norwich City
Crystal Palace,2019-08-24,2.0,1.0,A,Man United
Leicester,2019-08-24,2.0,1.0,A,Sheffield
Southampton,2019-08-24,2.0,0.0,A,Brighton
West Ham,2019-08-24,3.0,1.0,A,Watford
Arsenal,2019-08-24,1.0,3.0,H,Liverpool
Man City,2019-08-25,3.0,1.0,A,Bournemouth
Burnley,2019-08-25,1.0,1.0,D,Wolves
Newcastle,2019-08-25,1.0,0.0,A,Tottenham
Man United,2019-08-31,1.0,1.0,D,Southampton
Brighton,2019-08-31,0.0,4.0,H,Man City
Watford,2019-08-31,1.0,1.0,D,Newcastle
Sheffield,2019-08-31,2.0,2.0,D,Chelsea
Bournemouth,2019-08-31,1.0,3.0,H,Leicester
Norwich City,2019-08-31,0.0,2.0,H,West Ham
Aston Villa,2019-08-31,0.0,1.0,H,Crystal Palace
Liverpool,2019-08-31,3.0,0.0,A,Burnley
Wolves,2019-09-01,2.0,3.0,H,Everton
Tottenham,2019-09-01,2.0,2.0,D,Arsenal
Newcastle,2019-09-14,1.0,3.0,H,Liverpool
Chelsea,2019-09-14,5.0,2.0,A,Wolves
Crystal Palace,2019-09-14,0.0,4.0,H,Tottenham
Leicester,2019-09-14,0.0,1.0,H,Man United
Southampton,2019-09-14,1.0,0.0,A,Sheffield
Burnley,2019-09-14,1.0,1.0,D,Brighton
Man City,2019-09-14,2.0,3.0,H,Norwich City
Everton,2019-09-15,1.0,3.0,H,Bournemouth
Arsenal,2019-09-15,2.0,2.0,D,Watford
West Ham,2019-09-16,0.0,0.0,D,Aston Villa
Bournemouth,2019-09-20,3.0,1.0,A,Southampton
Tottenham,2019-09-21,1.0,2.0,H,Leicester
Watford,2019-09-21,0.0,8.0,H,Man City
Sheffield,2019-09-21,2.0,0.0,A,Everton
Norwich City,2019-09-21,0.0,2.0,H,Burnley
Brighton,2019-09-21,0.0,0.0,D,Newcastle
Man United,2019-09-22,0.0,2.0,H,West Ham
Wolves,2019-09-22,1.0,1.0,D,Crystal Palace
Aston Villa,2019-09-22,2.0,3.0,H,Arsenal
Liverpool,2019-09-22,2.0,1.0,A,Chelsea
Liverpool,2019-09-28,1.0,0.0,A,Sheffield
Watford,2019-09-28,0.0,2.0,H,Wolves
Burnley,2019-09-28,2.0,2.0,D,Aston Villa
Brighton,2019-09-28,0.0,2.0,H,Chelsea
Southampton,2019-09-28,1.0,2.0,H,Tottenham
Norwich City,2019-09-28,0.0,2.0,H,Crystal Palace
West Ham,2019-09-28,2.0,2.0,D,Bournemouth
Man City,2019-09-28,3.0,1.0,A,Everton
Newcastle,2019-09-29,0.0,5.0,H,Leicester
Arsenal,2019-09-30,1.0,1.0,D,Man United
Tottenham,2019-10-05,0.0,3.0,H,Brighton
Leicester,2019-10-05,1.0,2.0,H,Liverpool
Aston Villa,2019-10-05,5.0,1.0,A,Norwich City
Everton,2019-10-05,0.0,1.0,H,Burnley
Sheffield,2019-10-05,0.0,0.0,D,Watford
Crystal Palace,2019-10-05,2.0,1.0,A,West Ham
Wolves,2019-10-06,2.0,0.0,A,Man City
Bournemouth,2019-10-06,0.0,1.0,H,Arsenal
Chelsea,2019-10-06,4.0,1.0,A,Southampton
Man United,2019-10-06,0.0,1.0,H,Newcastle
West Ham,2019-10-19,0.0,2.0,H,Everton
Southampton,2019-10-19,1.0,1.0,D,Wolves
Brighton,2019-10-19,1.0,2.0,H,Aston Villa
Newcastle,2019-10-19,0.0,1.0,H,Chelsea
Watford,2019-10-19,1.0,1.0,D,Tottenham
Burnley,2019-10-19,1.0,2.0,H,Leicester
Norwich City,2019-10-19,0.0,0.0,D,Bournemouth
Man City,2019-10-19,2.0,0.0,A,Crystal Palace
Liverpool,2019-10-20,1.0,1.0,D,Man United
Arsenal,2019-10-21,0.0,1.0,H,Sheffield
Leicester,2019-10-25,9.0,0.0,A,Southampton
Aston Villa,2019-10-26,0.0,3.0,H,Man City
Sheffield,2019-10-26,1.0,1.0,D,West Ham
Everton,2019-10-26,2.0,3.0,H,Brighton
Bournemouth,2019-10-26,0.0,0.0,D,Watford
Chelsea,2019-10-26,4.0,2.0,A,Burnley
Wolves,2019-10-27,1.0,1.0,D,Newcastle
Tottenham,2019-10-27,1.0,2.0,H,Liverpool
Crystal Palace,2019-10-27,2.0,2.0,D,Arsenal
Man United,2019-10-27,3.0,1.0,A,Norwich City
Man United,2019-11-02,0.0,1.0,H,Bournemouth
Norwich City,2019-11-02,0.0,2.0,H,Brighton
Liverpool,2019-11-02,2.0,1.0,A,Aston Villa
Southampton,2019-11-02,1.0,2.0,H,Man City
Wolves,2019-11-02,1.0,1.0,D,Arsenal
Burnley,2019-11-02,0.0,3.0,H,Sheffield
Newcastle,2019-11-02,3.0,2.0,A,West Ham
Chelsea,2019-11-02,2.0,1.0,A,Watford
Leicester,2019-11-03,2.0,0.0,A,Crystal Palace
Tottenham,2019-11-03,1.0,1.0,D,Everton
Watford,2019-11-08,2.0,0.0,A,Norwich City
Crystal Palace,2019-11-09,0.0,2.0,H,Chelsea
Bournemouth,2019-11-09,1.0,2.0,H,Newcastle
Sheffield,2019-11-09,1.0,1.0,D,Tottenham
West Ham,2019-11-09,0.0,3.0,H,Burnley
Everton,2019-11-09,2.0,1.0,A,Southampton
Arsenal,2019-11-09,0.0,2.0,H,Leicester
Aston Villa,2019-11-10,1.0,2.0,H,Wolves
Brighton,2019-11-10,1.0,3.0,H,Man United
Man City,2019-11-10,1.0,3.0,H,Liverpool
Tottenham,2019-11-23,3.0,2.0,A,West Ham
Southampton,2019-11-23,2.0,2.0,D,Arsenal
Norwich City,2019-11-23,2.0,0.0,A,Everton
Liverpool,2019-11-23,2.0,1.0,A,Crystal Palace
Leicester,2019-11-23,2.0,0.0,A,Brighton
Burnley,2019-11-23,3.0,0.0,A,Watford
Wolves,2019-11-23,2.0,1.0,A,Bournemouth
